num,div,max,exact
16,1.118034,3.000000,7
32,0.810093,2.000000,3
48,0.735980,1.666667,1
64,0.618718,1.250000,1
80,0.574456,1.200000,3
96,0.452616,0.833333,1
112,0.371154,0.714286,1
128,0.302980,0.500000,1
144,0.269316,0.555556,2
160,0.231840,0.500000,5
176,0.203279,0.363636,2
192,0.164042,0.333333,2
208,0.167650,0.461538,3
224,0.188982,0.571429,3
240,0.176383,0.466667,1
256,0.183552,0.500000,3
272,0.168958,0.470588,2
288,0.173472,0.444444,4
304,0.167473,0.368421,2
320,0.152069,0.350000,2
336,0.148690,0.380952,2
352,0.149033,0.318182,2
368,0.151396,0.347826,3
384,0.151669,0.375000,3
400,0.152971,0.400000,4
416,0.148339,0.346154,3
432,0.136711,0.333333,2
448,0.130002,0.285714,1
464,0.137391,0.344828,1
480,0.133333,0.300000,1
496,0.123363,0.290323,2
512,0.125487,0.281250,1
528,0.116873,0.242424,2
544,0.120373,0.235294,2
560,0.128174,0.228571,3
576,0.115370,0.194444,1
592,0.131018,0.243243,0
608,0.132888,0.289474,2
624,0.137783,0.307692,2
640,0.142248,0.300000,2
656,0.137972,0.317073,3
672,0.140859,0.333333,2
688,0.143122,0.348837,3
704,0.150970,0.363636,3
720,0.142725,0.355556,2
736,0.137919,0.369565,1
752,0.137888,0.361702,1
768,0.141490,0.354167,1
784,0.141392,0.367347,0
800,0.142127,0.380000,1
816,0.143084,0.372549,1
832,0.136829,0.346154,1
848,0.133416,0.339623,1
864,0.133539,0.314815,1
880,0.140982,0.345455,1
896,0.145072,0.357143,0
912,0.144670,0.368421,1
928,0.143218,0.379310,1
944,0.143818,0.355932,0
960,0.140436,0.333333,0
976,0.130763,0.311475,0
992,0.121905,0.306452,1
1008,0.114737,0.285714,0
1024,0.113483,0.281250,0
1040,0.108377,0.292308,1
1056,0.106196,0.272727,1
1072,0.101229,0.253731,4
1088,0.100952,0.235294,2
1104,0.101708,0.217391,3
1120,0.104978,0.228571,2
1136,0.106452,0.239437,0
1152,0.106343,0.236111,0
1168,0.103988,0.232877,0
1184,0.097915,0.202703,0
1200,0.099778,0.213333,1
1216,0.097360,0.223684,1
1232,0.095324,0.194805,0
1248,0.093883,0.192308,0
1264,0.090287,0.189873,0
1280,0.088939,0.200000,1
1296,0.089453,0.197531,1
1312,0.088991,0.182927,0
1328,0.088125,0.180723,0
1344,0.087987,0.178571,0
1360,0.089501,0.176471,0
1376,0.089882,0.174419,1
1392,0.086970,0.160920,0
1408,0.086636,0.159091,1
1424,0.087666,0.168539,0
1440,0.091625,0.177778,1
1456,0.092432,0.175824,2
1472,0.095148,0.163043,1
1488,0.093740,0.172043,0
1504,0.095152,0.170213,3
1520,0.093040,0.168421,1
1536,0.087463,0.166667,0
1552,0.087020,0.175258,2
1568,0.082347,0.163265,2
1584,0.080174,0.161616,0
1600,0.077217,0.170000,0
1616,0.075809,0.168317,1
1632,0.072210,0.166667,1
1648,0.072328,0.155340,2
1664,0.075635,0.163462,2
1680,0.080461,0.171429,1
1696,0.081905,0.179245,0
1712,0.083526,0.186916,1
1728,0.081907,0.166667,1
1744,0.083077,0.165138,2
1760,0.083567,0.163636,0
1776,0.084632,0.171171,2
1792,0.084704,0.169643,0
1808,0.082662,0.168142,5
1824,0.082171,0.166667,2
1840,0.077594,0.156522,2
1856,0.077166,0.155172,2
1872,0.076148,0.145299,2
1888,0.076212,0.144068,2
1904,0.072896,0.134454,2
1920,0.071686,0.133333,3
1936,0.075179,0.140496,2
1952,0.074788,0.131148,0
1968,0.074624,0.138211,1
1984,0.073305,0.137097,1
2000,0.072993,0.144000,1
2016,0.073225,0.150794,2
2032,0.071519,0.133858,1
2048,0.067262,0.117188,1
2064,0.070517,0.124031,4
2080,0.069497,0.123077,2
2096,0.068170,0.114504,0
2112,0.072417,0.121212,0
2128,0.072313,0.127820,1
2144,0.075092,0.134328,0
2160,0.076264,0.125926,2
2176,0.077903,0.132353,0
2192,0.078148,0.131387,0
2208,0.076474,0.130435,0
2224,0.075067,0.129496,1
2240,0.072492,0.114286,0
2256,0.074299,0.120567,0
2272,0.074195,0.126761,0
2288,0.075195,0.125874,0
2304,0.075236,0.131944,1
2320,0.074518,0.137931,0
2336,0.075731,0.136986,0
2352,0.076019,0.129252,0
2368,0.075581,0.128378,0
2384,0.073902,0.127517,0
2400,0.071841,0.126667,1
2416,0.072015,0.132450,2
2432,0.074396,0.138158,2
2448,0.074054,0.130719,1
