num,div,max,exact
2,1.000000,1.000000,0
4,0.000000,0.000000,2
6,0.333333,0.333333,0
8,0.250000,0.250000,0
10,0.200000,0.200000,0
12,0.333333,0.333333,0
14,0.428571,0.428571,0
16,0.250000,0.250000,0
18,0.111111,0.111111,0
20,0.000000,0.000000,2
22,0.000000,0.000000,2
24,0.000000,0.000000,2
26,0.000000,0.000000,2
28,0.000000,0.000000,2
30,0.000000,0.000000,2
32,0.062500,0.062500,0
34,0.058824,0.058824,0
36,0.111111,0.111111,0
38,0.105263,0.105263,0
40,0.150000,0.150000,0
42,0.142857,0.142857,0
44,0.136364,0.136364,0
46,0.130435,0.130435,0
48,0.125000,0.125000,0
50,0.160000,0.160000,0
52,0.115385,0.115385,0
54,0.148148,0.148148,0
56,0.178571,0.178571,0
58,0.172414,0.172414,0
60,0.200000,0.200000,0
62,0.161290,0.161290,0
64,0.156250,0.156250,0
66,0.181818,0.181818,0
68,0.147059,0.147059,0
70,0.171429,0.171429,0
72,0.166667,0.166667,0
74,0.189189,0.189189,0
76,0.157895,0.157895,0
78,0.179487,0.179487,0
80,0.175000,0.175000,0
82,0.170732,0.170732,0
84,0.166667,0.166667,0
86,0.162791,0.162791,0
88,0.181818,0.181818,0
90,0.177778,0.177778,0
92,0.173913,0.173913,0
94,0.191489,0.191489,0
96,0.187500,0.187500,0
98,0.163265,0.163265,0
100,0.160000,0.160000,0
102,0.176471,0.176471,0
104,0.192308,0.192308,0
106,0.207547,0.207547,0
108,0.185185,0.185185,0
110,0.181818,0.181818,0
112,0.160714,0.160714,0
114,0.175439,0.175439,0
116,0.189655,0.189655,0
118,0.186441,0.186441,0
120,0.166667,0.166667,0
122,0.180328,0.180328,0
124,0.161290,0.161290,0
126,0.158730,0.158730,0
128,0.171875,0.171875,0
130,0.169231,0.169231,0
132,0.181818,0.181818,0
134,0.179104,0.179104,0
136,0.176471,0.176471,0
138,0.173913,0.173913,0
140,0.185714,0.185714,0
142,0.197183,0.197183,0
144,0.208333,0.208333,0
146,0.205479,0.205479,0
148,0.202703,0.202703,0
150,0.213333,0.213333,0
152,0.197368,0.197368,0
