num,div,max,exact
6,0.577350,0.666667,2
10,0.447214,0.400000,0
14,0.247436,0.285714,2
18,0.368514,0.444444,0
22,0.301511,0.363636,0
26,0.335300,0.461538,0
30,0.405518,0.400000,0
34,0.305656,0.352941,0
38,0.293040,0.421053,0
42,0.265132,0.380952,0
46,0.310497,0.347826,0
50,0.322490,0.320000,0
54,0.345458,0.444444,0
58,0.336096,0.482759,0
62,0.297405,0.451613,0
66,0.298450,0.484848,1
70,0.295545,0.457143,0
74,0.314026,0.486486,0
78,0.327363,0.512821,0
82,0.354289,0.536585,0
86,0.353458,0.511628,0
90,0.310316,0.444444,0
94,0.309060,0.468085,0
98,0.310177,0.489796,0
102,0.345788,0.549020,0
106,0.342233,0.528302,0
110,0.319607,0.472727,0
114,0.319183,0.456140,0
118,0.310220,0.440678,0
122,0.300049,0.426230,0
126,0.290524,0.412698,0
130,0.291497,0.400000,0
134,0.271543,0.388060,0
138,0.290940,0.405797,0
142,0.299772,0.422535,0
146,0.285708,0.383562,0
150,0.293030,0.400000,0
154,0.291268,0.415584,0
158,0.290588,0.430380,0
162,0.261017,0.395062,0
166,0.247795,0.361446,0
170,0.235000,0.352941,0
174,0.224947,0.321839,0
178,0.210506,0.314607,0
182,0.212801,0.329670,0
186,0.201452,0.301075,0
190,0.216494,0.336842,0
194,0.212031,0.329897,0
198,0.227441,0.363636,0
202,0.228153,0.356436,0
206,0.228723,0.349515,0
210,0.213172,0.323810,0
214,0.209187,0.317757,0
218,0.200790,0.311927,0
222,0.202853,0.324324,0
226,0.184572,0.300885,1
230,0.179687,0.295652,0
234,0.186278,0.307692,0
238,0.169531,0.285714,0
242,0.156589,0.264463,0
246,0.144295,0.243902,0
250,0.140627,0.240000,0
254,0.148358,0.251969,0
258,0.145646,0.248062,0
262,0.145439,0.244275,0
266,0.145601,0.240602,0
270,0.137187,0.222222,0
274,0.129137,0.204380,1
278,0.130095,0.201439,1
282,0.123045,0.184397,0
286,0.107201,0.167832,1
290,0.105722,0.165517,1
294,0.106044,0.163265,0
298,0.111700,0.174497,0
302,0.115277,0.185430,1
306,0.109172,0.169935,1
310,0.110810,0.167742,1
314,0.097641,0.152866,1
318,0.091789,0.138365,0
322,0.089363,0.136646,1
326,0.084787,0.134969,0
330,0.073481,0.121212,0
334,0.072601,0.119760,0
338,0.064004,0.106509,0
342,0.069931,0.116959,0
346,0.070083,0.115607,0
350,0.061279,0.102857,0
354,0.053895,0.090395,0
358,0.052108,0.089385,0
362,0.051532,0.088398,0
366,0.044729,0.076503,0
370,0.038602,0.064865,0
374,0.033396,0.053476,1
378,0.035493,0.052910,0
382,0.029151,0.041885,0
386,0.026923,0.031088,0
390,0.032026,0.041026,0
394,0.026376,0.030457,0
398,0.030567,0.030151,0
402,0.027700,0.039801,0
406,0.022574,0.029557,0
410,0.027160,0.039024,0
414,0.018710,0.028986,1
418,0.015869,0.019139,0
422,0.021718,0.028436,0
426,0.026140,0.037559,0
430,0.029047,0.046512,1
434,0.027263,0.046083,0
438,0.022831,0.036530,1
442,0.026770,0.045249,0
446,0.026530,0.044843,0
450,0.016025,0.026667,0
454,0.022891,0.035242,1
458,0.031185,0.043668,2
462,0.028387,0.043290,1
466,0.029423,0.042918,0
470,0.030979,0.042553,0
474,0.032410,0.042194,0
478,0.028068,0.041841,0
482,0.028447,0.041494,0
486,0.028213,0.041152,0
490,0.027982,0.040816,0
494,0.036437,0.048583,0
498,0.036145,0.048193,0
502,0.034503,0.047809,0
506,0.031373,0.047431,1
510,0.031126,0.047059,1
514,0.032787,0.054475,0
518,0.036425,0.061776,0
522,0.040366,0.068966,0
526,0.031123,0.053232,0
530,0.031346,0.052830,0
534,0.026747,0.044944,0
538,0.026548,0.044610,0
542,0.022446,0.036900,0
546,0.017567,0.029304,0
550,0.018895,0.029091,1
554,0.022545,0.036101,1
558,0.024572,0.035842,0
562,0.019814,0.028470,0
566,0.019674,0.028269,0
570,0.017544,0.028070,1
574,0.016710,0.027875,0
578,0.021048,0.034602,0
582,0.022534,0.034364,1
586,0.020760,0.034130,0
590,0.017614,0.027119,1
594,0.022079,0.033670,1
598,0.023884,0.040134,0
602,0.029529,0.046512,1
606,0.032168,0.052805,0
610,0.027627,0.045902,0
614,0.024592,0.039088,1
618,0.030186,0.045307,1
622,0.032948,0.051447,1
626,0.034261,0.051118,1
630,0.032219,0.050794,0
634,0.036653,0.056782,1
638,0.042868,0.062696,0
642,0.045037,0.062305,0
646,0.044758,0.061920,0
650,0.041624,0.061538,1
654,0.045667,0.067278,1
658,0.045390,0.066869,1
662,0.045518,0.066465,0
666,0.041065,0.060060,0
670,0.042948,0.065672,1
674,0.042486,0.065282,0
678,0.044051,0.064897,1
682,0.045902,0.064516,0
686,0.043926,0.064140,0
690,0.042303,0.063768,0
694,0.043228,0.069164,1
698,0.046113,0.074499,1
702,0.049592,0.079772,1
706,0.046635,0.073654,0
710,0.044982,0.073239,1
714,0.049398,0.078431,0
718,0.049438,0.077994,0
722,0.052339,0.083102,0
726,0.050722,0.082645,1
730,0.047216,0.076712,1
734,0.046800,0.076294,1
738,0.039921,0.065041,1
742,0.038780,0.064690,0
746,0.038572,0.064343,0
750,0.036074,0.058667,1
754,0.035883,0.058355,1
758,0.039047,0.063325,1
762,0.038126,0.062992,0
766,0.041365,0.067885,0
770,0.041962,0.067532,0
774,0.041745,0.067183,0
778,0.040402,0.066838,0
782,0.041160,0.066496,0
786,0.041108,0.066158,0
790,0.042287,0.065823,1
794,0.042074,0.065491,1
798,0.045043,0.070175,0
802,0.043121,0.064838,0
806,0.038681,0.059553,0
810,0.039890,0.064198,0
814,0.036194,0.058968,0
818,0.037161,0.058680,0
822,0.033626,0.053528,0
826,0.034837,0.053269,1
830,0.034669,0.053012,1
834,0.034502,0.052758,1
838,0.034338,0.052506,1
842,0.030696,0.047506,0
846,0.028663,0.042553,1
850,0.027339,0.042353,1
854,0.028394,0.046838,0
858,0.031360,0.051282,0
862,0.031728,0.051044,1
866,0.034642,0.055427,1
870,0.033393,0.055172,0
874,0.036542,0.059497,1
878,0.039257,0.063781,1
882,0.034464,0.054422,0
886,0.034604,0.058691,0
890,0.038597,0.062921,0
894,0.037368,0.062640,0
898,0.040151,0.066815,0
902,0.041777,0.066519,0
906,0.043651,0.070640,0
910,0.045522,0.074725,0
914,0.047489,0.078775,0
918,0.047282,0.078431,0
922,0.046474,0.078091,0
926,0.049014,0.082073,0
930,0.051208,0.086022,0
934,0.055303,0.089936,0
938,0.054151,0.089552,0
942,0.053921,0.089172,0
946,0.055735,0.093023,0
950,0.057231,0.096842,0
954,0.057068,0.096436,0
958,0.058567,0.100209,0
962,0.058619,0.099792,0
966,0.058376,0.099379,0
970,0.055287,0.094845,0
974,0.055289,0.094456,0
978,0.054987,0.094070,0
982,0.057425,0.097760,0
986,0.060001,0.101420,0
990,0.059209,0.101010,0
994,0.056446,0.096579,0
998,0.058323,0.100200,0
1002,0.061033,0.103792,0
1006,0.062837,0.107356,0
1010,0.060030,0.102970,0
1014,0.057673,0.098619,0
1018,0.057447,0.098232,0
1022,0.057222,0.097847,0
1026,0.056999,0.097466,0
1030,0.054334,0.093204,0
1034,0.051865,0.088975,0
1038,0.053915,0.092486,0
1042,0.056124,0.095969,0
1046,0.055909,0.095602,0
1050,0.053639,0.091429,0
1054,0.051022,0.087287,0
1058,0.052693,0.090737,0
1062,0.052427,0.090395,0
1066,0.054796,0.093809,0
1070,0.054527,0.093458,0
1074,0.054832,0.093110,0
1078,0.054880,0.092764,0
1082,0.056521,0.096118,0
1086,0.056192,0.095764,0
1090,0.054090,0.091743,0
1094,0.051546,0.087751,0
1098,0.051745,0.087432,0
1102,0.049203,0.083485,0
1106,0.051370,0.086799,0
1110,0.051312,0.086486,0
1114,0.051128,0.086176,0
1118,0.050945,0.085868,0
1122,0.050763,0.085561,0
1126,0.048546,0.081705,0
1130,0.049017,0.081416,0
1134,0.049098,0.081129,0
1138,0.046198,0.077329,0
1142,0.046037,0.077058,0
1146,0.047507,0.080279,0
1150,0.043129,0.073043,0
1154,0.043189,0.072790,0
1158,0.043385,0.072539,0
1162,0.042684,0.072289,0
1166,0.042744,0.072041,0
1170,0.044280,0.075214,0
1174,0.045680,0.078365,0
1178,0.048051,0.081494,0
1182,0.049822,0.084602,0
1186,0.048260,0.080944,0
1190,0.045935,0.077311,0
1194,0.043648,0.073702,0
1198,0.045137,0.076795,0
1202,0.046915,0.079867,0
1206,0.047111,0.079602,0
1210,0.046955,0.079339,0
1214,0.047262,0.079077,0
1218,0.045712,0.075534,0
1222,0.044971,0.075286,0
